caseid,weight,websites_n,pink_slime_n,pink_slime_lib_n,pink_slime_con_n,hard_news_n,hard_news_or_pink_slime_n,local_or_pink_slime_n,local_n,local_only_n,regional_n,national_n,international_n,facebook_n,twitter_n,pink_slime_flag,pink_slime_lib_flag,pink_slime_con_flag,pink_slime_per,pink_slime_local_per,local_only_flag,local_only_per,local_flag,trump_support,knowledge,interest,college,female,race4,non_white,age4,age4_under_30,age4_30_44,age4_45_64,age4_65,zipcode,mean_ideology,ideology_bin,presvote20combined,untrustworthy_n,total_n,untrustworthy_flag,untrustworthy_per
1221442813,0.347154994764686,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,3,4,0,0,White,0,65+,0,0,0,1,NA,0.16006,10,Joe Biden,0,8,0,0
1221443657,0.89423126716726,3402,0,0,0,138,138,6,6,1,13,129,82,37,10,0,0,0,0,0,1,2.9394473838918284e-4,1,1,3,3,1,0,Other,1,30-44,0,1,0,0,82633,0.04344565217391304,5,Donald Trump,6,3402,1,0.001763668430335097
1221443673,0.377107289279223,4695,0,0,0,499,499,34,34,6,51,482,439,8,3,0,0,0,0,0,1,0.0012779552715654952,1,0,3,4,1,0,White,0,65+,0,0,0,1,27577,0.032732404828226556,5,Joe Biden,0,4695,0,0
1221444131,2.95228418550492,13627,0,0,0,1906,1906,51,51,0,508,1906,1439,1211,2,0,0,0,0,0,0,0,1,1,0,2,0,1,White,0,65+,0,0,0,1,74578,0.07661590729938515,7,Donald Trump,0,13627,0,0
1221445185,0.521971674027531,7013,0,0,0,279,279,39,39,0,48,267,155,47,96,0,0,0,0,0,0,0,1,1,4,4,1,0,White,0,45-64,0,0,1,0,23323,0.037266895739249954,5,Donald Trump,26,7013,1,0.0037074005418508485
1221447899,0.298085572355588,19074,0,0,0,746,746,119,119,0,205,717,360,3409,11,0,0,0,0,0,0,0,1,0,4,4,0,1,White,0,45-64,0,0,1,0,14086,0.10443266370988781,9,Joe Biden,0,19074,0,0
1221448045,0.336612009303302,199,0,0,0,2,2,0,0,0,0,2,1,2,0,0,0,0,0,NA,0,0,0,0,3,4,1,0,White,0,45-64,0,0,1,0,61550,0.09938421052631578,8,Joe Biden,0,199,0,0
1221453145,0.349975590862391,20853,1,1,0,652,652,268,267,6,316,609,445,5652,1259,1,1,0,4.795473073418693e-5,0.0037313432835820895,1,0.00028772838440512156,1,0,4,4,1,0,White,0,45-64,0,0,1,0,NA,0.043187340491752255,5,Joe Biden,10,20853,1,4.795473073418693e-4
1221453363,0.860132145242213,2967,0,0,0,262,262,232,232,0,232,259,238,52,0,0,0,0,0,0,0,0,1,0,1,3,1,1,Other,1,45-64,0,0,1,0,40509,0.0061648,3,Joe Biden,0,2967,0,0
1221453365,0.28971400194848,28188,0,0,0,6646,6646,57,57,0,1664,6553,4879,100,0,0,0,0,0,0,0,0,1,0,4,4,1,1,White,0,45-64,0,0,1,0,87114,0.09545149035061129,8,Joe Biden,0,28188,0,0
1221453387,0.400048201733562,13628,0,0,0,367,367,27,27,0,27,357,303,265,8,0,0,0,0,0,0,0,1,1,4,4,0,0,White,0,45-64,0,0,1,0,98837,0.049097544577608884,5,Donald Trump,50,13628,1,0.003668916935720575
1221453397,0.700101380102092,40736,3,2,1,2539,2540,1569,1566,5,1642,2380,2075,2887,14696,1,1,1,7.364493322859388e-5,0.0019120458891013384,1,1.2274155538098978e-4,1,0,4,4,1,0,White,0,Under 30,1,0,0,0,44632,0.00251977495543672,3,Joe Biden,12,40736,1,2.945797329143755e-4
1221454049,2.58182784944405,5417,0,0,0,507,507,14,14,0,15,503,502,922,0,0,0,0,0,0,0,0,1,0,4,3,0,0,White,0,65+,0,0,0,1,48602,0.10117583591864875,9,Joe Biden,0,5417,0,0
1221470735,0.565562337066035,132795,0,0,0,4637,4637,3220,3220,0,3552,4620,4308,7953,30,0,0,0,0,0,0,0,1,0,2,3,1,0,White,0,30-44,0,1,0,0,60614,-0.004746680446465482,3,Joe Biden,0,132795,0,0
1221483903,0.282634479977616,6576,0,0,0,223,223,128,128,3,132,199,149,887,479,0,0,0,0,0,1,4.562043795620438e-4,1,0,4,4,0,0,White,0,45-64,0,0,1,0,85387,0.01653280106453759,4,Joe Biden,0,6576,0,0
1221492355,0.423507440712553,1141,0,0,0,60,60,10,10,1,10,51,30,23,9,0,0,0,0,0,1,8.764241893076249e-4,1,1,4,4,0,1,White,0,65+,0,0,0,1,28479,0.06158179419525066,6,Donald Trump,6,1141,1,0.0052585451358457495
1221492873,0.494418705187291,17046,0,0,0,1745,1745,147,147,1,151,1625,1266,67,69,0,0,0,0,0,1,5.8664789393406076e-5,1,0,4,4,1,1,White,0,65+,0,0,0,1,02476,-0.156816474321985,1,Joe Biden,0,17046,0,0
1221494945,0.282634479977616,13300,0,0,0,897,897,674,674,0,678,858,685,984,662,0,0,0,0,0,0,0,1,0,4,4,0,0,White,0,45-64,0,0,1,0,87059,-0.012196607060981201,3,Joe Biden,1,13300,1,7.518796992481203e-5
1221497479,0.282634479977616,3806,0,0,0,136,136,22,22,0,27,122,68,236,4,0,0,0,0,0,0,0,1,0,4,4,0,0,White,0,45-64,0,0,1,0,94588,-0.002471023427866831,3,Joe Biden,1,3806,1,2.627430373095113e-4
1221499455,1.9171939538094,5435,0,0,0,57,57,18,18,3,22,44,15,129,8,0,0,0,0,0,1,5.519779208831647e-4,1,0,2,3,0,0,White,0,45-64,0,0,1,0,28655,0.12736796875,9,Joe Biden,0,5435,0,0
